ACACH	Acanthisitta_chloris_<Rifleman>
ALLIG	Alligator_mississippiensis <American_Alligator>
ANAPL	Anas_platyrhynchos_<Mallard_(domestic)>
ANOCA	Anolis_carolinensis_<Green_lizard>
ANTCA	Antrostomus_carolinensis_<Chuck-will's-widow_(Nightjar)>
CAPCA	Antrostomus_carolinensis_<Chuck-will's-widow_(Nightjar)>
APAVI	Apaloderma_vittatum_<Bar-tailed_Trogon>
APTFO	Aptenodytes_forsteri_<Emperor_Penguin>
BALRE	Balearica_regulorum_<Grey_Crowned_Crane>
BUCRH	Buceros_rhinoceros_<Rhinoceros_Hornbill>
CALAN	Calypte_anna_<Anna's_Hummingbird>
CARCR	Cariama_cristata_<Red-legged_Seriema>
CATAU	Cathartes_aura_<Turkey_Vulture>
CHAPE	Chaetura_pelagica_<Chimney_Swift>
CHAVO	Charadrius_vociferus_<Killdeer>
CHEMY	Chelonia_mydas <Green_Turtle>
CHLUN	Chlamydotis_macqueenii_<MacQueen's_Bustard>
CHLMA	Chlamydotis_macqueenii_<MacQueen's_Bustard>
COLLI	Columba_livia_<Rock_Pigeon_(domestic)>
COLST	Colius_striatus_<Speckled_Mousebird>
CORBR	Corvus_brachyrhynchos_<American_Crow>
CUCCA	Cuculus_canorus_<Common_Cuckoo>
EGRGA	Egretta_garzetta_<Little_Egret>
EURHE	Eurypyga_helias_<Sunbittern>
FALPE	Falco_peregrinus_<Peregrine_Falcon>
FULGL	Fulmarus_glacialis_<Northern_Fulmar>
GALGA	Gallus_gallus_<Red_Junglefowl_(Chicken)>
GAVST	Gavia_stellata_<Red-throated_Loon>
GEOFO	Geospiza_fortis_<Medium_Ground-finch>
HALAL	Haliaeetus_albicilla_<White-tailed_Eagle>
HALLE	Haliaeetus_leucocephalus_<Bald_Eagle>
HUMAN	Homo_sapiens_<Human>
LEPDI	Leptosomus_discolor_<Cuckoo_Roller>
MANVI	Manacus_vitellinus_<Golden-collared_Manakin>
MELGA	Meleagris_gallopavo_<Turkey>
MELUN	Melopsittacus_undulatus_<Budgerigar>
MERNU	Merops_nubicus_<Carmine_Bee-eater>
MESUN	Mesitornis_unicolor_<Brown_Mesite>
NESNO	Nestor_notabilis_<Kea>
NIPNI	Nipponia_nippon_<Crested_Ibis>
OPHHO	Ophisthocomus_hoazin_<Hoatzin>
PELCR	Pelecanus_crispus_<Dalmatian_Pelican>
PHACA	Phalacrocorax_carbo_<Cormorant>
PHALE	Phaethon_lepturus_<White-tailed_Tropicbird>
PHORU	Phoenicopterus_ruber_<American_Flamingo>
PICPU	Picoides_pubescens_<Downy_Woodpecker>
PODCR	Podiceps_cristatus_<Great_Crested_Grebe>
PTEGU	Pterocles_gutturalis_<Yellow-throated_Sandgrouse>
PYGAD	Pygoscelis_adeliae_<Adelie_Penguin>
STRCA	Struthio_camelus_<Ostrich>
TAEGU	Taeniopygia_guttata_<Zebra_Finch>
TAUER	Tauraco_erythrolophus_<Red-crested_Turaco>
TINMA	Tinamou_guttatus_<White-throated_tinamou>
TINGU	Tinamou_guttatus_<White-throated_tinamou>
TYTAL	Tyto_alba_<Barn_Owl>  
